Id	Label	Color
0	Sam Houston St.	7
1	E. Washington	4
2	Abil Chr.	7
3	Georgia State	8
4	Texas A&M	8
5	South Carolina	8
6	E. Illinois	5
7	Minnesota	0
8	Presbyterian	3
9	Northern Illinois	0
10	Missouri St.	4
11	Northwestern St.	7
12	Bryant	2
13	Stony Brook	2
14	Wake Forest	0
15	La.-Monroe	8
16	Chattanooga	3
17	C. Michigan	0
18	Howard	6
19	Akron	0
20	Charlotte	3
21	Campbell	11
22	Reinhardt	3
23	Mercer	3
24	E. Kentucky	5
25	Robert Morris	2
26	Point U	3
27	Charleston So.	3
28	Missouri Baptist	11
29	SE Missouri St.	5
30	Idaho State	4
31	Utah	1
32	Valparaiso	11
33	W. Illinois	4
34	Boise St.	1
35	Ole Miss	8
36	Kentucky Chr.	5
37	Tenn. Tech	5
38	Taylor	11
39	S. Illinois	4
40	Tulane	0
41	Tulsa	0
42	Cal-Poly	4
43	New Mexico St.	8
44	Union College (KY)	5
45	Murray St.	5
46	North Dakota	4
47	San Jose St.	1
48	Rutgers	0
49	Washington St.	1
50	Weber St.	4
51	Arizona St.	1
52	Temple	0
53	Vanderbilt	8
54	BYU	1
55	Connecticut	0
56	Villanova	2
57	Syracuse	0
58	Jacksonville St.	5
59	Michigan St.	0
60	Bowling Green	0
61	W. Kentucky	8
62	Colorado St.	1
63	Colorado	1
64	Texas-San Antonio	9
65	Houston	0
66	UNLV	1
67	Arizona	1
68	Penn St.	0
69	UCF	0
70	UCLA	1
71	Virginia	0
72	Delaware	2
73	Pittsburgh	0
74	W. Michigan	0
75	Purdue	0
76	Wagner	2
77	Georgetown	10
78	N. Iowa	4
79	Iowa	0
80	Ohio St.	0
81	Navy	0
82	Troy	8
83	UAB	8
84	Appalachian St.	8
85	Michigan	0
86	UT Martin	5
87	Kentucky	8
88	N. Dakota St.	4
89	Iowa St.	9
90	Youngstown St.	4
91	Illinois	0
92	Indiana St.	4
93	Indiana	0
94	Wofford	3
95	Georgia Tech	0
96	Ga. Southern	8
97	N. Carolina St.	0
98	Delaware St.	6
99	Monmouth	2
100	Colgate	10
101	Ball St.	0
102	Nicholls St.	7
103	Air Force	1
104	So. Utah	4
105	Nevada	1
106	Boston College	0
107	Massachusetts	0
108	California	1
109	Northwestern	0
110	FAU	8
111	Nebraska	0
112	Hampton	6
113	Old Dominion	8
114	South Dakota St.	4
115	Missouri	8
116	Marshall	8
117	Miami (Ohio)	0
118	James Madison	2
119	Maryland	0
120	Rice	8
121	Notre Dame	0
122	Duquesne	2
123	Buffalo	0
124	West Virginia	9
125	Alabama	8
126	UC-Davis	4
